population_size,num_samples,r,seq_len,model,d,t1,t2
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2464272.3850923474,2464272.3850923474
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3944295.2792987544,3944295.2792987544
1000000.0,2,1e-08,1000000.0,smck_10,1.0,186191.75692188804,186191.75692188804
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5371491.591071661,5371491.591071661
1000000.0,2,1e-08,1000000.0,smck_10,1.0,422923.1124603534,422923.1124603534
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2041098.4232315298,2041098.4232315298
1000000.0,2,1e-08,1000000.0,smck_10,1.0,279041.28055055084,279041.28055055084
1000000.0,2,1e-08,1000000.0,smck_10,1.0,898342.8711303518,898342.8711303518
1000000.0,2,1e-08,1000000.0,smck_10,1.0,636333.7396929681,636333.7396929681
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4105300.5285207583,4105300.5285207583
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5741852.2033921555,5741852.2033921555
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1280341.3196311814,1280341.3196311814
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1102592.3148936282,1102592.3148936282
1000000.0,2,1e-08,1000000.0,smck_10,1.0,442352.0669744905,442352.0669744905
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6365.518748241585,6365.518748241585
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1529914.1177016322,1529914.1177016322
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1131901.3233770905,1131901.3233770905
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6365.518748241585,6365.518748241585
1000000.0,2,1e-08,1000000.0,smck_10,1.0,491097.7982884664,491097.7982884664
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1597728.524766331,1597728.524766331
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1339969.7635427988,1339969.7635427988
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1596903.4544462329,1596903.4544462329
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4350144.482761554,4350144.482761554
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3708523.0754534886,3708523.0754534886
1000000.0,2,1e-08,1000000.0,smck_10,1.0,286501.3356733693,286501.3356733693
1000000.0,2,1e-08,1000000.0,smck_10,1.0,457570.0536199934,457570.0536199934
1000000.0,2,1e-08,1000000.0,smck_10,1.0,738762.383806478,738762.383806478
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2207191.85177561,2207191.85177561
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2878587.4002482346,2878587.4002482346
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3092778.0972750764,3092778.0972750764
1000000.0,2,1e-08,1000000.0,smck_10,1.0,412026.1651678037,412026.1651678037
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5628674.037153115,5628674.037153115
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2005440.3922285244,2005440.3922285244
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5576973.464731225,5576973.464731225
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1444187.9672269777,1444187.9672269777
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4063304.380544428,4063304.380544428
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4035071.2675017323,4035071.2675017323
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1990528.916232355,1990528.916232355
1000000.0,2,1e-08,1000000.0,smck_10,1.0,657168.145848315,657168.145848315
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1162626.0145791355,1162626.0145791355
1000000.0,2,1e-08,1000000.0,smck_10,1.0,291821.9493341376,291821.9493341376
1000000.0,2,1e-08,1000000.0,smck_10,1.0,73506.41154308044,73506.41154308044
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1573177.266771441,1573177.266771441
1000000.0,2,1e-08,1000000.0,smck_10,1.0,792856.7939138241,792856.7939138241
1000000.0,2,1e-08,1000000.0,smck_10,1.0,915952.3714688316,915952.3714688316
1000000.0,2,1e-08,1000000.0,smck_10,1.0,88932.8359652075,88932.8359652075
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2828523.368134699,2828523.368134699
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1590724.5647243154,1590724.5647243154
1000000.0,2,1e-08,1000000.0,smck_10,1.0,5115679.734731303,5115679.734731303
1000000.0,2,1e-08,1000000.0,smck_10,1.0,9044409.676879404,9044409.676879404
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1130653.641684825,1130653.641684825
